"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"218","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Khalan Laborn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Jack Colletto (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Tyler Hoosman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Elijah Dotson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"223","SaRodorick Thompson Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Derek Parish (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"225","Lew Nichols III (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"226","CJ Marable (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Tank Bigsby (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.1%"
"229","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Zach Charbonnet (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.2%"
